"GeneID","CoefficientTraining"
"ERAP2",-5.26876159626469e-05
"APTX",-5.25571961297382e-05
"CTSW",-5.25544919747656e-05
"FAM206A",-5.25077680279636e-05
"LDAH",-5.24856581819631e-05
"HPRT1",-5.24766004423628e-05
"AUP1",-5.24548575263467e-05
"MYRF",-5.24116980644262e-05
"PHF8",-5.23726978149227e-05
"EIF3A",-5.23375047374097e-05
"UCP3",-5.22958805281383e-05
"MGLL",-5.22818772869637e-05
"MYO6",-5.22386001418296e-05
"PLAT",-5.22078469183252e-05
"NFE2L3",-5.20983798003509e-05
"PTPN7",-5.20887848725394e-05
"FLRT1",-5.20369090025016e-05
"UBE4B",-5.20368390681292e-05
"PTCD3",-5.20295140704429e-05
"CD2BP2",-5.1849425114362e-05
"B4GALT7",-5.17571836320102e-05
"VPS13C",-5.16299315061044e-05
"S100A6",-5.15382669352977e-05
"SLC38A7",-5.14799836592645e-05
"B3GALNT1",-5.14173590642233e-05
"ZNF79",-5.13719723802796e-05
"AVL9",-5.1332288354415e-05
"NKG7",-5.12620815344698e-05
"CTNNB1",-5.12384994199902e-05
"VAT1",-5.12116867721441e-05
"GRIN2C",-5.1128482541296e-05
"HIRIP3",-5.10525906407631e-05
"RITA1",-5.10056348055103e-05
"LGALS1",-5.09326427080995e-05
"PTOV1",-5.09106736607006e-05
"CADPS2",-5.08857211134278e-05
"SF3A1",-5.08106304190124e-05
"LRPAP1",-5.07868462567018e-05
"DROSHA",-5.07858675544078e-05
"STK3",-5.05613691947328e-05
"CD151",-5.05551134183815e-05
"RPS13",-5.05223517815836e-05
"NEFM",-5.04978081602512e-05
"GPR137B",-5.04072121807099e-05
"MOCS1",-5.04002319333348e-05
"RAF1",-5.03793420649164e-05
"UIMC1",-5.03502079788595e-05
"CWF19L1",-5.02040021050527e-05
"BBOF1",-5.01815103262828e-05
"MAPK8IP2",-5.01453742086265e-05
"ACP6",-5.01315692561996e-05
"ACTC1",-5.01179666389689e-05
"NR6A1",-5.01035748182854e-05
"TACC1",-5.00428166005269e-05
